Year,Acres_Burned,Number_of_Fires,Acres_Burned_per_Fire,Month
2004,304809,1918,158.92,October
2005,95393,3414,27.94,October
2006,326551,2639,123.74,October
2007,469496,3787,123.98,October
2008,299720,5403,55.47,October
2009,91444,2989,30.59,October
2010,210259,4594,45.77,October
2011,507724,3399,149.37,October
2012,200860,3553,56.53,October
2013,19514,3323,5.87,October
2014,202883,1946,104.26,October
2015,323784,3826,84.63,October
2016,126963,6555,19.37,October
2017,366641,3408,107.58,October
2018,466374,1791,260.4,October
2019,134013,2314,57.91,October
2020,1020326,3033,336.41,October
2021,616701,2275,271.08,October
2022,326208,5942,54.9,October
2000,261681,3285,79.66,November
2001,99879,10223,9.77,November
2002,410256,2068,198.38,November
2003,478648,2104,227.49,November
2004,21660,1368,15.83,November
2005,177519,4089,43.41,November
2006,107342,3401,31.56,November
2007,205386,2398,85.65,November
2008,97019,2437,39.81,November
2009,127651,3838,33.26,November
2010,122728,4277,28.69,November
2011,270518,2808,96.34,November
2012,152697,3694,41.34,November
2013,86092,2376,36.23,November
2014,191688,8108,23.64,November
2015,404910,2097,193.09,November
2016,275616,8560,32.2,November
2017,354376,3252,108.97,November
2018,236457,1421,166.4,November
2019,49700,2320,21.42,November
2020,994388,5740,173.24,November
2021,278740,5984,46.58,November
2022,132467,4580,28.92,November
2000,83606,1156,72.32,December
2001,215773,4566,47.26,December
2002,66900,2115,31.63,December
2003,144890,5992,24.18,December
2004,33939,1241,27.35,December
2005,255789,6075,42.11,December
2006,365494,6593,55.44,December
2007,427160,6576,64.96,December
2008,161379,3190,50.59,December
2009,85985,1748,49.19,December
2010,117497,5958,19.72,December
2011,211666,7497,28.23,December
2012,65361,11760,5.56,December
2013,137927,2057,67.05,December
2014,133238,12086,11.02,December
2015,312668,6027,51.88,December
2016,163153,5339,30.56,December
2017,595161,9945,59.85,December
2018,98542,3400,28.98,December
2019,13353,2569,5.2,December
2020,735125,5324,138.08,December
2021,336984,4383,76.88,December
2022,190464,2128,89.5,December
